Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_264_589,VPWR,li1,279.2200,731.6800,1.799991
FILLER_264_587,VPWR,li1,275.7700,731.6800,1.799992
FILLER_264_581,VPWR,li1,274.1600,731.6800,1.799992
FILLER_264_569,VPWR,li1,270.0200,731.6800,1.799992
FILLER_264_557,VPWR,li1,264.5000,731.6800,1.799993
FILLER_264_545,VPWR,li1,258.9800,731.6800,1.799993
FILLER_264_533,VPWR,li1,253.4600,731.6800,1.799993
FILLER_264_531,VPWR,li1,250.0100,731.6800,1.799994
FILLER_264_525,VPWR,li1,248.4000,731.6800,1.799994
FILLER_264_513,VPWR,li1,244.2600,731.6800,1.799994
FILLER_264_501,VPWR,li1,238.7400,731.6800,1.799995
FILLER_264_489,VPWR,li1,233.2200,731.6800,1.799995
FILLER_264_477,VPWR,li1,227.7000,731.6800,1.799995
FILLER_264_475,VPWR,li1,224.2500,731.6800,1.799996
FILLER_264_469,VPWR,li1,222.6400,731.6800,1.799996
FILLER_264_457,VPWR,li1,218.5000,731.6800,1.799996
FILLER_264_445,VPWR,li1,212.9800,731.6800,1.799997
FILLER_264_433,VPWR,li1,207.4600,731.6800,1.799997
FILLER_264_421,VPWR,li1,201.9400,731.6800,1.799997
FILLER_264_419,VPWR,li1,198.4900,731.6800,1.799998
FILLER_264_413,VPWR,li1,196.8800,731.6800,1.799998
FILLER_264_401,VPWR,li1,192.7400,731.6800,1.799998
FILLER_264_389,VPWR,li1,187.2200,731.6800,1.799998
FILLER_264_377,VPWR,li1,181.7000,731.6800,1.799999
FILLER_264_365,VPWR,li1,176.1800,731.6800,1.799999
FILLER_264_363,VPWR,li1,172.7300,731.6800,1.799999
FILLER_264_357,VPWR,li1,171.1200,731.6800,1.799999
